application_id,Applications,Affected_Applications,Impacted_Services,Affected_Applicaitons_In_Second_Level_Blast_Radius,criticality
996,txalpp101, txnlpp104| txnlpp107| txnlpp106| txnlpp102| txbcpp101|txslpp102| txbcpp102| txnspp101| txnlpp105| txpxpp105| txpxpp104| txslpp101| txnlpp101| txpxpp103| txnlpp103| txnlpp108| txpxpp102| txalpp101| txnlpp109|txalpp101| txsupp101| txpxpp101,Enterprise Applications| Enterprise Applications| Data Center - Access Network Infrastructure|Data Center - Access Network Infrastructure,txbcpp103|wafdpp101|txslpp103|txpxpp101|txslpp102|cotapp101|txnlpp104|txnlpp103|txbcpp101|caebpp105|txnlpp108|txpxpp102|txbcpp102|txnlpp107|txslpp101|txnlpp102|txpxpp103|txpxpp104|txnspp101|txnlpp105|txnlpp109|txpxpp105|txnlpp106,4
1002,ebdp-ch2-d035p.sys.comcast.net, Enterprise Big Data Platform|ebdp-ch2-d035p.sys.comcast.net,Enterprise Applications| Big Data - Products| Big Data - Data Lake| Big Data Service| Big Data - Data Enterprise,xmpentapp-ch2-a1p.sys.comcast.net|Modesto - ETL,5
1003,osac-ch2-d088p.sys.comcast.net, osac-ch2-d088p.sys.comcast.net|Enterprise Big Data Platform,Enterprise Applications| Big Data - Products| Big Data - Data Lake| Big Data Service| Big Data - Data Enterprise,xmpentapp-ch2-a1p.sys.comcast.net|Modesto - ETL,5
1015,Horizon Services,RE EA Engagement|Horizon Services| CMTS Access Management Tool| Horizon Services| National Watchtower,Enterprise Applications| SVC:TPX-IXT-CEUI National Watchtower| Broadband - vCMTS IP Application| EA:Core:Customer Engagement|SVC:TPX-IXT-CEUI National Watchtower| EA:Services:General|Network Automation| Broadband - vCMTS| 29b475aadb3ad300b7e4ffd31d9619bb|EA:Core:Customer Engagement| Enterprise Applications|29b475aadb3ad300b7e4ffd31d9619bb,nwtdb-ch2-a1p.sys.comcast.net|NWT-EXR|nwtdb-po-a3p.sys.comcast.net|9f379eaadb691c14392cdb85ca961918|EATS|nwtdb-po-a2p.sys.comcast.net|42f36546dbdc68107520fabfaa961904|450432fadb3e10100b99bc32ba9619df|e90f945adbb25c50fd193df33996196f|483ce841dba9149020b0d2e3ca9619cc|nwtdb-po-a4p.sys.comcast.net|13aac5da1b51d85016c3ea807e4bcbc9|RE EA Engagement|nwtdb-ch2-a2p.sys.comcast.net|NWT-NASA|nwtdb-po-a1p.sys.comcast.net|TTS (Trouble Ticketing System)|4fb99d93db06d4988e0e83aa139619c7|nwtdb-ch2-a4p.sys.comcast.net|abaa8192db9dd41020b0d2e3ca96199b|nwtdb-ch2-a3p.sys.comcast.net,4
1019,ebdp-ch2-d885p.sys.comcast.net,Enterprise Big Data Platform| ebdp-ch2-d885p.sys.comcast.net,Enterprise Applications| Big Data - Products| Big Data - Data Lake| Big Data Service| Big Data - Data Enterprise,xmpentapp-ch2-a1p.sys.comcast.net|Modesto - ETL,1
1023,splog-po-a3p.sys.comcast.net, XCOS - Logging|splog-po-a3p.sys.comcast.net,Enterprise Applications,ctpesd-qc-a3q.ula.comcast.net|f3c1629edbba9300b56bfe18bf961951,1
1025,Xfinity Home - API ,Xfinity Home - API | Xfinity Home| Einstein360, XHome| Xfinity Application| 366bcbd4dbe8ef404b1a5623dc9619b7| Home Security / Automation|IoT| Enterprise Applications| Connected Living| 9ffac28ddbdb9b4075f25688dc96195e| 9906aceedb72d300b7e4ffd31d96198c,Einstein Secure Payment Widget|Maestro Oracle KB|RE EA Engagement|Concentrix,1
1032,orbvpp101, orbvpp101| orbvpp106| orbvpp103|orbvpp106|orbvpp101| orbvpp102|orbvpp103| orbvpp104,Enterprise Applications| Enterprise Applications| Data Center - Access Network Infrastructure|Data Center - Access Network Infrastructure,orbvpp104|orbvpp106|orbvpp103,5
1037,tnqspp101, mamppp101| caebpp105|tnqspp101|caarpp101| tnqspp101,Enterprise Applications| Enterprise Applications| Data Center - Access Network Infrastructure|Data Center - Access Network Infrastructure,caarpp102|mamppp102|wafdpp101,4
1042,lmdb-wc-b3p.sys.comcast.net, lmdb-as-a4p.sys.comcast.net|Legal Mart| Legal Mart| lmdb-wc-b3p.sys.comcast.net|lmdb-wc-b3p.sys.comcast.net,Enterprise Applications| 21ffdeb9db72130072b3f1e51d961910| SVC:TPX-IXT-CEUI National Watchtower| EA:Core:Customer Engagement,lmdb-wc-b2p.sys.comcast.net|lmdb-wc-b1p.sys.comcast.net,4
1043,RA Knowledgebase Platform, CAFE| XM360| Tech360| ITG Reporting and Website|RA Knowledgebase Platform| aiQ| EATS| XH Tools Applications| Help &amp; Support - Web| RA Knowledgebase Platform|EATS| Einstein360| Retail360|Einstein360,Enterprise Applications| 5afb6f23dbaa9740b7e4ffd31d961999| 2db1b3861b94989097a2ebde6e4bcbc3| 8c223f4a1bd05890be6dea866e4bcb43| a590fb4a1b54989097a2ebde6e4bcbd9| d30c34031b30109897a2ebde6e4bcba9| 8c587ce6db3693008a79f3861d961908| 98a55bbddbf613004b1a5623dc961961|EA:Core:Customer & Employee UI Experience| EA:Core:Customer & Employee UI Experience| a6fb6f23dbaa9740b7e4ffd31d9619e2| Enterprise Applications|8c223f4a1bd05890be6dea866e4bcb43|EA:Services:General| 9906aceedb72d300b7e4ffd31d96198c,f07e23a91bdd09d0b122e2eb234bcbdf|Einstein Secure Payment Widget|0b4ea7651b554914c9b826db234bcb36|RE EA Engagement|fa2eeba91b150d50c311c88b234bcb51|RetailPOS|Modesto - Frontend-Retail|GigabitEthernet101/0/0/25|Nuance - CHAT|eGain Chat|001eab98db016b00e1de5898dc96193d|Maestro Oracle KB|EATS|Concentrix|sur01.manitowoc.wi.minn.comcast.net|Convoy Orchestration Platform,3
1044,maestrodb-wc-2p.sys.comcast.net, maestrodb-wc-2p.sys.comcast.net|maestrodb-wc-1p.sys.comcast.net| maestrodb-wc-3p.sys.comcast.net| Maestro Oracle KB,Enterprise Applications| fdfb6f23dbaa9740b7e4ffd31d96195c,Maestro Oracle KB - Cafe|moafcache-wc-a8p.sys.comcast.net|CAFE,3
1049,BSD DIGITAL - Voice Portal,BSD DIGITAL - MyAccount|BSD DIGITAL - Help and Support| BSD DIGITAL - Help and Support| BSD DIGITAL - Voice Portal| BSD DIGITAL - MyAccount|BSD DIGITAL - Voice Portal| BSD DIGITAL - Account,Enterprise Applications| EA:BSD:Business Services| d5d91ea61b0de49865fa77741a4bcbc7| Enterprise Applications| 0ba59bbddbf613004b1a5623dc9619d9| 07a59bbddbf613004b1a5623dc9619da| 205d0534db1f5b40eaa85a35dc96193b|205d0534db1f5b40eaa85a35dc96193b,CAFE|BSD DIGITAL - MyAccount|BSD DIGITAL - Help and Support|BSD DIGITAL - Account|BSD DIGITAL - Mobile App,1
1053,orbvpp102,orbvpp104| orbvpp101|orbvpp102| orbvpp106| orbvpp102| orbvpp103,Enterprise Applications| Enterprise Applications| Data Center - Access Network Infrastructure|Data Center - Access Network Infrastructure,orbvpp104|orbvpp106|orbvpp103,4
1055,clipdb-ch2-07p.sys.comcast.net, clipdb-ch2-07p.sys.comcast.net|CLIPS OSS,Enterprise Applications,845d6f291b5dc990f12eeb16624bcbf9|2e9daf211b590d90115d986a234bcb6f|3f2da3e11b150d50c311c88b234bcb8e|27dca3251bd105546d132176624bcb6f|0adce3611b150d50c311c88b234bcbe8|clipapp-po-27p.sys.comcast.net|357dafe11bdd09d0b122e2eb234bcb96|33fc23291b5dc990f12eeb16624bcbd7|Century OEOM|ea2d63e11b150d50c311c88b234bcb34|e43d67a51bd54d90bd39ea45624bcb1a|4e6d2bed1bdd05906ee4657a234bcbcb|8c5d63251b5949d0abbc557b234bcbed|89adaf251bdd09d0b122e2eb234bcb32|e97d23211b590d90115d986a234bcbd9|clipapp-po-02p.sys.comcast.net|Webtop|clipapp-po-08p.sys.comcast.net|RE EA Engagement|Blue Planet Inventory|9c5da3251b5949d0abbc557b234bcb3c|897de3291bd105546d132176624bcba4|048d27211b590d90115d986a234bcb73|dcfc6fe51b5dc990f12eeb16624bcbc3|c95dabed1b190d90115d986a234bcbf6|c46de3ed1bdd05906ee4657a234bcb66|0bdc63251bd105546d132176624bcb8f|285d2fa51bd54d90bd39ea45624bcb45|c15de3ed1b154914c9b826db234bcbe3|CLIPS - Helix|clipapp-po-01p.sys.comcast.net|6c6da7ed1b154914c9b826db234bcb06|MetroE Manual Notifications (CSP)|CLIPS OSS - ANRS|clipapp-po-28p.sys.comcast.net|416da7ed1b154914c9b826db234bcb4d|704def6d1bdd05906ee4657a234bcb05|clipapp-po-07p.sys.comcast.net|299ee76d1b1d05d0446686a5624bcb21|af7dab251b5949d0abbc557b234bcbce|0e5eab651b554914c9b826db234bcb92|Blue Planet Operations Manager,5
1057,flitpp108, flndpp106| fl06pp104| gasepp102| ilmepp101| flndpp102| argspp103| flqppp104| flndpp101| fl06pp101| ilwtpp107| misrpp101|flitpp108| flghpp102| ilybpp101| miptpp101| argspp104| flitpp103| flqppp103| inblpp101| ilalpp101| fledpp105| tnqspp101| fl06pp102| ilrkpp101| misrpp102| gasepp201,Enterprise Applications| Enterprise Applications| Data Center - Access Network Infrastructure|Data Center - Access Network Infrastructure,argspp101|flndpp102|miptpp102|caebpp105|misrpp102|caarpp101|mamppp101|flndpp103|argspp104|fl06pp103|fl06pp102|misrpp103,4
1060,xCP - Consent DB, xCP - Consent DB|xCP - Contract DB|xCP - Consent DB| xCP - Contract DB|xCP - Customer Service, 2f317b021b94989097a2ebde6e4bcb08|EA:BSD:Customer & Identity|Big Data - Products| EA:BSD:Customer & Identity| EA:Core:Payment & Billing| c5b475aadb3ad300b7e4ffd31d961923| Big Data - Products| 89a55bbddbf613004b1a5623dc9619d5|89a55bbddbf613004b1a5623dc9619d5|Big Data Service| b948b8e6db3693008a79f3861d9619ea| 69b475aadb3ad300b7e4ffd31d9619b8| Enterprise Applications| edb475aadb3ad300b7e4ffd31d9619bb| Big Data Service,xCP - Customer Management Service|EATS|xCP - Consent Service|xCP - eCust DB|xCP - Contract Management Service|xCP - Credit Service|espdb-dt-c6i.ula.comcast.net|xCP - Customer Event Listener|xCP - Customer Product Service|espdb-dt-d3i.ula.comcast.net|535f93fddb7a13004b1a5623dc961937|xCP - Customer Event Processor|BSD DIGITAL - MyAccount|RE EA Engagement|espdb-dt-d2i.ula.comcast.net|espdb-dt-c8i.ula.comcast.net|135f93fddb7a13004b1a5623dc961939|espdb-dt-d1i.ula.comcast.net|Symphony Lite CSG|espdb-dt-c7i.ula.comcast.net,2
1063,iadb-as-p01a.cable.comcast.com,EP-WS-ComcastNow - Intranet| iadb-as-p01a.cable.comcast.com,Enterprise Applications| 78e6b7eddb32df40eaa85a35dc96195e,idapp-as-1p.cable.comcast.com,4
1064,ebdp-ch2-d030p.sys.comcast.net, ebdp-ch2-d030p.sys.comcast.net|Enterprise Big Data Platform, Big Data - Products| Big Data - Data Lake|Big Data - Data Enterprise| Enterprise Applications| Big Data Service,xmpentapp-ch2-a1p.sys.comcast.net|Modesto - ETL,3
1066,WFM Scheduling Service,WFM Scheduling Service| DBaaS - Oracle,Enterprise Applications| Platform Monitoring,ogcdb-ch2-f1p.sys.comcast.net|ogcdb-ch2-c3p.sys.comcast.net|ogcdb-as-a2p.sys.comcast.net|Comcast Privacy Portal|ogcdb-as-c2p.sys.comcast.net|ogcdb-ch2-c1p.sys.comcast.net|ogcdb-as-c1p.sys.comcast.net|ogcdb-po-e3p.sys.comcast.net|ogcdb-po-d1p.sys.comcast.net|EATS|ogcdb-ch2-f2p.sys.comcast.net|ogcdb-as-b3p.sys.comcast.net|ogcdb-as-b1p.sys.comcast.net|ogcdb-ch2-f3p.sys.comcast.net|ogcdb-ch2-b2p.sys.comcast.net|ogcdb-as-a3p.sys.comcast.net|ogcdb-ch2-d1p.sys.comcast.net|ogcdb-ch2-d2p.sys.comcast.net|ogcdb-po-f2p.sys.comcast.net|RE EA Engagement|ogcdb-as-a1p.sys.comcast.net|ogcdb-ch2-b3p.sys.comcast.net|ogcdb-po-c3p.sys.comcast.net|ogcdb-po-b2p.sys.comcast.net|ogcdb-as-b2p.sys.comcast.net|ogcdb-as-d3p.sys.comcast.net|ogcdb-as-d2p.sys.comcast.net|ogcdb-po-c1p.sys.comcast.net|ogcdb-ch2-b1p.sys.comcast.net|ogcdb-as-d1p.sys.comcast.net|ogcdb-ch2-c2p.sys.comcast.net|ogcdb-po-d3p.sys.comcast.net|ogcdb-po-e1p.sys.comcast.net|CPP - Privacy Portal IRR Flow|ogcdb-ch2-d3p.sys.comcast.net|ogcdb-po-b3p.sys.comcast.net|ogcdb-po-b1p.sys.comcast.net|CXIP-Directory Services-DevOps|ogcdb-po-c2p.sys.comcast.net,4
